"","x"
"572","AK005987"
"573","AK006001;Wfdc3"
"574","AK006015;DQ564503;DQ708235"
"575","AK006024;AK007159"
"576","AK006029"
"577","AK006037"
"578","AK006039"
"579","AK006051"
"580","AK006119"
"581","AK006131"
"582","AK006138;Ttll8"
"583","AK006139"
"584","AK006167"
"585","AK006186"
"586","AK006189"
"587","AK006202"
"588","AK006245"
"589","AK006250"
"590","AK006331"
"591","AK006355"
"592","AK006362"
"593","AK006397"
"594","AK006455;BC048555;Zfp808"
"595","AK006457"
"596","AK006476"
"597","AK006485"
"598","AK006507;AK076808"
"599","AK006531"
"600","AK006560"
"601","AK006572"
"602","AK006576"
"603","AK006610"
"604","AK006623"
"605","AK006637"
"606","AK006644"
"607","AK006651"
"608","AK006653"
"609","AK006653;AK076905;AK077064;FJ541075;FJ541076;FJ541078;FJ541080;FJ541081;FJ541082;FJ541083;FJ541084;FJ541085;FJ541086;FJ541087;FJ541088;FJ541089;FJ541090;FJ541091;FJ541092;FJ541094;FJ541095;FJ541097;FJ541098;FJ541099;FJ541102;Gm20837;Gm21739;Gm21996;Gm28490;Gm29276"
"610","AK006659"
"611","AK006664"
"612","AK006677"
"613","AK006706"
"614","AK006709"
"615","AK006725"
"616","AK006748;Junb"
"617","AK006766"
"618","AK006768"
"619","AK006822"
"620","AK006832"
"621","AK006844"
"622","AK006859"
"623","AK006870"
"624","AK006921"
"625","AK006930"
"626","AK006937"
"627","AK006961"
"628","AK006963;Apopt1"
"629","AK006973"
"630","AK006980"
"631","AK007010"
"632","AK007073"
"633","AK007082"
"634","AK007083"
"635","AK007112"
"636","AK007116"
"637","AK007174"
"638","AK007185"
"639","AK007204"
"640","AK007237"
"641","AK007238"
"642","AK007249"
"643","AK007436"
"644","AK007459"
"645","AK007605;Ggps1"
"646","AK007819"
"647","AK007836"
"648","AK007845"
"649","AK007898;Mfsd11"
"650","AK007899"
"651","AK007907;AK079377"
"652","AK007939;Gm17296"
"653","AK008044;Mpc2"
"654","AK008114;Gapvd1"
"655","AK008222"
"656","AK008288;Ctnna1"
"657","AK008306;Mir215"
"658","AK008384;AK029153"
"659","AK008432"
"660","AK008482"
"661","AK008488"
"662","AK008496;P2ry6"
"663","AK008572"
"664","AK008732;Mcoln1"
"665","AK008767"
"666","AK008812;Pfkl"
"667","AK008866"
"668","AK009067"
"669","AK009121"
"670","AK009335"
"671","AK009383"
"672","AK009395;Emsy"
"673","AK009639"
"674","AK009699;AK191425;Evi5l"
"675","AK009785"
"676","AK009869"
"677","AK009977;BC030470"
"678","AK010244;Ppp2r5e"
"679","AK010245"
"680","AK010638"
"681","AK010824"
"682","AK010878;Gm20604;Moap1"
"683","AK011205"
"684","AK011326;Pafah1b2"
"685","AK011444"
"686","AK011498"
"687","AK011877"
"688","AK011913;Pantr2"
"689","AK012046;Klhl22"
"690","AK012214"
"691","AK012238"
"692","AK012325"
"693","AK012478;Ppp2r5c"
"694","AK012891;Chpf2;Mir671"
"695","AK012899"
"696","AK013187"
"697","AK013192;Csnk1g2"
"698","AK013453"
"699","AK013480;AK015254;Zcwpw2"
"700","AK013560;AK045521;DOKist4;U80893"
"701","AK013627"
"702","AK013668"
"703","AK013883"
"704","AK013890;Eprs"
"705","AK013935;Phactr4"
"706","AK014089"
"707","AK014156"
"708","AK014209;AK148766"
"709","AK014273"
"710","AK014435"
"711","AK014513;Mir205"
"712","AK014660"
"713","AK014798"
"714","AK014836;Plcd4"
"715","AK014930"
"716","AK014951"
"717","AK014974"
"718","AK015045"
"719","AK015096;AK033525"
"720","AK015118"
"721","AK015174"
"722","AK015183"
"723","AK015188"
"724","AK015227;AK019699"
"725","AK015236"
"726","AK015277"
"727","AK015284"
"728","AK015305"
"729","AK015322"
"730","AK015341"
"731","AK015376"
"732","AK015378"
"733","AK015392"
"734","AK015416"
"735","AK015421"
"736","AK015428"
"737","AK015488"
"738","AK015492"
"739","AK015520"
"740","AK015526"
"741","AK015529"
"742","AK015544"
"743","AK015545"
"744","AK015566"
"745","AK015664"
"746","AK015703;AK132847"
"747","AK015767"
"748","AK015772;AK084432"
"749","AK015813;AK019773"
"750","AK015814"
"751","AK015818"
"752","AK015829"
"753","AK015900"
"754","AK015940"
"755","AK015953"
"756","AK016007"
"757","AK016027"
"758","AK016061;AK166420"
"759","AK016085"
"760","AK016097"
"761","AK016128"
"762","AK016129"
"763","AK016131"
"764","AK016162"
"765","AK016163"
"766","AK016170;AK134117;Trip4"
"767","AK016175"
"768","AK016178"
"769","AK016192"
"770","AK016207"
"771","AK016243"
"772","AK016244"
"773","AK016255;AK016672"
"774","AK016276"
"775","AK016280"
"776","AK016283"
"777","AK016328"
"778","AK016335"
"779","AK016377"
"780","AK016412"
"781","AK016413"
"782","AK016650"
"783","AK016696"
"784","AK016731"
"785","AK016734"
"786","AK016741;Cnga1"
"787","AK016790"
"788","AK016813"
"789","AK016836"
"790","AK016898"
"791","AK017006"
"792","AK017010;AK135599"
"793","AK017048"
"794","AK017068"
"795","AK017086"
"796","AK017092"
"797","AK017104"
"798","AK017177"
"799","AK017182"
"800","AK017243"
"801","AK017280;Ube2b"
"802","AK017296;BC028777"
"803","AK017306"
"804","AK017534"
"805","AK017552;Pus3"
"806","AK017645;Uba6"
"807","AK017779;Marcks"
"808","AK017845;Ostc"
"809","AK017891"
"810","AK018092;Ammecr1"
"811","AK018134;Tdrkh"
"812","AK018156"
"813","AK018197"
"814","AK018214"
"815","AK018237"
"816","AK018309"
"817","AK018352;Etl4"
"818","AK018394;Uevld"
"819","AK018405;Rabepk"
"820","AK018427;BC050140"
"821","AK018490;AK034016"
"822","AK018523;Sco1"
"823","AK018679;Cd47"
"824","AK018847"
"825","AK018905;AK019592"
"826","AK018913"
"827","AK018918"
"828","AK018924"
"829","AK018937"
"830","AK018940"
"831","AK018959;Ascl4"
"832","AK018965"
"833","AK018967"
"834","AK018972"
"835","AK018988"
"836","AK019057"
"837","AK019067"
"838","AK019114"
"839","AK019124"
"840","AK019237;Pycrl"
"841","AK019250"
"842","AK019290"
"843","AK019365"
"844","AK019366"
"845","AK019375"
"846","AK019420"
"847","AK019494;Plb1"
"848","AK019514"
"849","AK019541"
"850","AK019563"
"851","AK019593"
"852","AK019596"
"853","AK019598"
"854","AK019601"
"855","AK019614"
"856","AK019623"
"857","AK019630;AK019722"
"858","AK019643"
"859","AK019662"
"860","AK019679"
"861","AK019680"
"862","AK019688"
"863","AK019690"
"864","AK019701"
