"","BMP4_1ug","BMP4_2ug","NTC"
"Afg3l1",695,505,616
"Afg3l2",466,297,481
"Afm",0,0,0
"Afmid;Syngr2",579,471,557
"Afp",278,238,449
"Aftph",345,227,494
"Aga",49,89,80
"Agap1",410,303,537
"Agap2",3,1,3
"Agap3",372,203,454
"Agbl1",0,0,0
"Agbl2",5,3,6
"Agbl3",7,20,5
"Agbl4",0,1,0
"Agbl5",82,74,96
"Ager",5,21,13
"Agfg1",759,543,1073
"Agfg2",76,58,48
"Aggf1",854,450,948
"Agk",108,74,139
"Agl",130,67,111
"Agmat",3,6,0
"Agmo",0,0,0
"Ago1",245,196,400
"Ago2",516,348,425
"Ago3",27,23,35
"Ago4",10,11,13
"Agpat1",263,227,355
"Agpat2",225,133,248
"Agpat3",339,179,324
"Agpat4",337,201,328
"Agpat5",687,493,881
"Agpat9",144,83,123
"Agps",719,479,950
"Agr2",0,0,0
"Agr3",0,0,0
"Agrn",400,394,431
"Agt",0,0,2
"Agtpbp1",131,102,123
"Agtr1a",4,8,10
"Agtr1b",1,0,3
"Agtr2",0,0,1
"Agtrap",640,572,683
"Agxt",0,1,0
"Agxt2",0,0,0
"Ahcyl1",1208,812,1361
"Ahcyl2",159,156,256
"Ahdc1",365,228,354
"Ahi1",83,142,139
"Ahnak",599,401,483
"Ahr",31,22,62
"Ahrr",2,11,4
"Ahsa1",1281,961,1967
"Ahsa2",464,242,750
"Ahsg",0,1,1
"Aicda",1,3,0
"Aida;BC004835",335,295,428
"Aif1",0,0,0
"Aif1l",633,440,754
"Aifm1",519,407,606
"Aifm2",32,7,23
"Aifm3",30,31,33
"Aig1",155,178,191
"Aim1",48,29,30
"Aim1l",64,41,71
"Aim2",0,9,2
"Aimp1",2166,1769,2985
"Aimp2",1480,939,2054
"Aip",325,320,467
"Aipl1",1,7,5
"Aire",8,2,2
"Airn",14,11,11
"Ajap1",41,43,69
"Ajuba",868,597,1082
"Akap1",296,133,331
"Akap10",201,139,187
"Akap11",342,288,460
"Akap12",800,720,785
"Akap13",334,271,417
"Akap14",4,3,5
"Akap17b",377,114,354
"Akap3",1,7,1
"Akap4",1,0,0
"Akap5",32,29,25
"Akap6",1,3,5
"Akap8",1005,466,1557
"Akap8l",164,103,202
"Akap9",600,514,520
"Akip1",217,227,236
"Akirin1",355,203,528
"Akna",121,68,117
"Aknad1",3,0,0
"Akp3",0,0,0
"Akr1a1",3244,2637,4470
"Akr1b7",0,1,0
"Akr1b8",72,52,94
"Akr1c12",1,0,1
"Akr1c13",8,8,9
"Akr1c14",0,0,1
"Akr1c18",0,0,0
"Akr1c19",1,9,14
"Akr1c20",0,0,0
"Akr1c21",1,0,3
"Akr1c6",0,0,0
"Akr1cl",0,0,0
"Akr1d1",1,0,1
"Akr1e1",149,161,152
"Akr7a5",303,286,359
"Akt2",118,63,162
"Akt3",133,89,174
"Aktip",205,136,291
"Alas1",157,128,183
"Alas2",6,2,7
"Alb",0,0,0
"Alcam",72,87,91
"Aldh16a1",208,145,281
"Aldh18a1",251,188,290
"Aldh1a1",0,2,0
"Aldh1a2",33,104,42
"Aldh1a3",4,1,3
"Aldh1a7",0,0,0
"Aldh1b1",16,26,15
"Aldh1l1",5,6,4
"Aldh1l2",12,3,6
"Aldh2",305,227,477
"Aldh3a1",0,0,1
"Aldh3a2",113,99,112
"Aldh3b1",0,3,0
"Aldh3b2",26,10,4
"Aldh3b3",0,0,0
"Aldh5a1",85,88,113
"Aldh6a1",47,82,75
"Aldh7a1",679,587,866
"Aldh8a1",1,0,0
"Aldh9a1",982,815,1325
"Aldoart1",124,39,89
"Aldoart2",1,0,0
"Aldob",46,40,76
"Aldoc",70,59,85
"Alg1",190,143,190
"Alg11",270,221,365
"Alg12",54,65,69
"Alg13",642,428,823
"Alg14",136,97,229
"Alg2",226,167,263
"Alg3",361,382,531
"Alg5",276,240,295
"Alg8",81,126,112
"Alg9",156,122,167
"Alk",25,19,21
"Alkbh1;Nrp",268,389,465
"Alkbh2",95,113,112
"Alkbh3",119,156,143
"Alkbh3os1",0,0,0
"Alkbh4",149,86,239
"Alkbh5",1000,661,1363
"Alkbh6",313,307,412
"Alkbh7",295,280,473
"Alkbh8",86,58,110
"Allc",1,0,1
"Alms1",144,121,136
"Alms1-ps2",2,0,3
"Alox12",11,15,11
"Alox12b",2,3,1
"Alox12e",1,0,1
"Alox15",65,27,6
"Alox5",0,5,0
"Alox5ap",6,5,2
"Alox8",0,6,4
"Aloxe3",7,2,1
"Alpi",0,0,0
"Alpk1",0,2,4
"Alpk2",0,4,0
"Alpk3",19,31,30
"Alpl",80,138,143
"Alppl2",0,0,0
"Als2cl",45,25,28
"Als2cr11",0,1,0
"Als2cr11b",0,0,0
"Als2cr12",0,3,1
"Alx1",36,47,63
"Alx3",20,28,16
"Alx4",9,7,1
"Alyref",1834,1375,2720
"Alyref2",170,171,268
"Amacr",71,102,106
"Ambn",1,0,0
"Ambp",1,3,4
"Ambra1",112,83,130
"Amd2",1,3,2
"Amdhd1",1,6,1
"Amdhd2",141,128,106
"Amelx",0,0,0
"Amer1",144,155,223
"Amer2",36,35,36
"Amer3",6,27,9
"Amfr",472,341,608
"Amh",1,0,0
"Amhr2",59,79,65
"Amica1",2,0,4
"Amigo1",13,16,27
"Amigo2",17,15,23
"Amigo3",19,36,18
"Ammecr1l",517,241,769
"Amn",185,142,175
"Amn1",114,160,185
